Uniprot ID,Cluster ID
A0A023FDL2,UniRef90_A0A023FDL2
A0A023FDL4,UniRef90_A0A023FDL4
A0A023FDL5,UniRef90_A0A023FDL5
A0A023FDL6,UniRef90_A0A023FDL6
A0A023FDL7,UniRef90_G3MK26
A0A023FDN9,UniRef90_A0A023FDN9
A0A023FDP1,UniRef90_A0A023FDP1
A0A023FDP8,UniRef90_A0A023FDP8
A0A023FDQ1,UniRef90_A0A023FDQ1
A0A023FDQ5,UniRef90_A0A023G0W2
A0A023FDQ7,UniRef90_A0A023FDQ7
A0A023FDR1,UniRef90_A0A023FDR1
A0A023FDR9,UniRef90_A0A023FDR9
A0A023FDS8,UniRef90_A0A023FUZ8
A0A023FDT1,UniRef90_A0A023FDT1
A0A023FDW5,UniRef90_A0A023FDW5
A0A023FDW6,UniRef90_A0A023FDW6
A0A023FDX3,UniRef90_A0A023FDX3
A0A023FDX8,UniRef90_A0A023FDX8
A0A023FDX9,UniRef90_A0A023FDX9
A0A023FDY1,UniRef90_A0A023FDY1
A0A023FDY4,UniRef90_A0A023FDY4
A0A023FDZ5,UniRef90_A0A023FDZ5
A0A023FDZ6,UniRef90_A0A023FDZ6
A0A023FDZ9,UniRef90_A0A023FDZ9
A0A023FE07,UniRef90_A0A023FE07
A0A023FE08,UniRef90_A0A023FE08
A0A023FE24,UniRef90_A0A023FE24
A0A023FE28,UniRef90_A0A023FE28
A0A023FE34,UniRef90_A0A023FE34
A0A023FE42,UniRef90_A0A023FE42
A0A023FE44,UniRef90_A0A023FE44
A0A023FE49,UniRef90_A0A023FE49
A0A023FE52,UniRef90_A0A023FE52
A0A023FE56,UniRef90_A0A023FE56
A0A023FE57,UniRef90_A0A023FE57
A0A023FE73,UniRef90_A0A023FE91
A0A023FE74,UniRef90_A0A023FE74
A0A023FE75,UniRef90_A0A023GE12
A0A023FE81,UniRef90_A0A023FE81
A0A023FE85,UniRef90_A0A023FE85
A0A023FE93,UniRef90_A0A023FE93
A0A023FE98,UniRef90_A0A023FE98
A0A023FEA0,UniRef90_A0A023FEA0
A0A023FEA2,UniRef90_A0A023FEA2
A0A023FEA3,UniRef90_A0A023FEA3
A0A023FEB2,UniRef90_A0A023FXF3
A0A023FEC0,UniRef90_A0A023FEC0
A0A023FEC9,UniRef90_A0A023FEC9
A0A023FED0,UniRef90_A0A023FTP4
A0A023FED1,UniRef90_A0A023FED1
A0A023FED9,UniRef90_A0A023FED9
A0A023FEE2,UniRef90_A0A023FEE2
A0A023FEE7,UniRef90_A0A023FEE7
A0A023FEF4,UniRef90_A0A023FEF4
A0A023FEF8,UniRef90_A0A023FEF8
A0A023FEF9,UniRef90_A0A023FEF9
A0A023FEG1,UniRef90_A0A023FEG1
A0A023FEG5,UniRef90_A0A023FEG5
A0A023FEG6,UniRef90_A0A023FEF2
A0A023FEG7,UniRef90_A0A023FEG7
A0A023FEG8,UniRef90_A0A023FEG8
A0A023FEH6,UniRef90_A0A023FEH6
A0A023FEI0,UniRef90_A0A023FEI0
A0A023FEI2,UniRef90_A0A023FEI2
A0A023FEI5,UniRef90_A0A023FEI5
A0A023FEJ0,UniRef90_A0A023FEJ0
A0A023FEJ4,UniRef90_A0A023FEJ4
A0A023FEJ6,UniRef90_A0A023FS28
A0A023FEJ7,UniRef90_A0A023FEJ7
A0A023FEJ9,UniRef90_A0A023FEJ9
A0A023FEK0,UniRef90_A0A023FEK0
A0A023FEK2,UniRef90_A0A023FEK2
A0A023FEK3,UniRef90_A0A023FSQ4
A0A023FEK4,UniRef90_A0A023FEK4
A0A023FEK5,UniRef90_A0A023FEK5
A0A023FEK6,UniRef90_A0A023FEK6
A0A023FEL0,UniRef90_A0A023FEL0
A0A023FEL2,UniRef90_A0A023FEL2
A0A023FEL4,UniRef90_A0A023FEL4
A0A023FEL5,UniRef90_A0A023FEL5
A0A023FEM0,UniRef90_A0A023FEM0
A0A023FEM2,UniRef90_A0A023FEM2
A0A023FEM3,UniRef90_A0A023FEY4
A0A023FEM4,UniRef90_F7H048
A0A023FEM7,UniRef90_A0A023FEM7
A0A023FEN0,UniRef90_A0A023FCH5
A0A023FEN2,UniRef90_A0A023FEN2
A0A023FEN4,UniRef90_A0A023FEN4
A0A023FEN5,UniRef90_A0A023FEN5
A0A023FEP1,UniRef90_A0A023FEP1
A0A023FEQ1,UniRef90_A0A023FEQ1
A0A023FEQ4,UniRef90_A0A023FEQ4
A0A023FER8,UniRef90_A0A023FER8
A0A023FER9,UniRef90_A0A023FET6
A0A023FES2,UniRef90_A0A023FES2
A0A023FES6,UniRef90_A0A023FES6
A0A023FES8,UniRef90_A0A023FES8
A0A023FEU8,UniRef90_A0A023FT94
A0A023FEV0,UniRef90_A0A023FT10
A0A023FEV2,UniRef90_B7QN05
A0A023FEW8,UniRef90_A0A023FDK8
A0A023FEY4,UniRef90_A0A023FEY4
A0A023FEZ0,UniRef90_A0A023FEZ0
A0A023FEZ3,UniRef90_A0A023FEZ3
A0A023FF09,UniRef90_A0A023FF09
A0A023FF17,UniRef90_A0A023FF17
A0A023FF28,UniRef90_A0A023FF28
A0A023FF34,UniRef90_A0A023FF34
A0A023FF41,UniRef90_A0A023FF41
A0A023FF50,UniRef90_A0A023FF50
A0A023FF57,UniRef90_A0A023FUC3
A0A023FF62,UniRef90_A0A023FF62
A0A023FF74,UniRef90_G3MN01
A0A023FF87,UniRef90_A0A023FF87
A0A023FF97,UniRef90_A0A023FF97
A0A023FFA1,UniRef90_A0A023FU04
A0A023FFB2,UniRef90_A0A023FFB2
A0A023FFB6,UniRef90_G3MR02
A0A023FFC7,UniRef90_A0A023FFC7
A0A023FFD0,UniRef90_A0A023FFD0
A0A023FFD8,UniRef90_A0A023FWM0
A0A023FFE5,UniRef90_A0A023FFE5
A0A023FFE9,UniRef90_A0A023FFE9
A0A023FFF0,UniRef90_B7P283
A0A023FFF4,UniRef90_G3MR74
A0A023FFG6,UniRef90_A0A023FFG6
A0A023FFH3,UniRef90_A0A023FFH3
A0A023FFH5,UniRef90_E5S309
A0A023FFI7,UniRef90_A0A023FFI7
A0A023FFJ2,UniRef90_L7M309
A0A023FFJ6,UniRef90_A0A023FFJ6
A0A023FFL2,UniRef90_A0A023FFL2
A0A023FFL3,UniRef90_G3MSV9
A0A023FFL4,UniRef90_A0A023FFL4
A0A023FFM2,UniRef90_L7M299
A0A023FFM9,UniRef90_A0A023FFM9
A0A023FFN1,UniRef90_Q86G63
A0A023FFN7,UniRef90_A0A023FFN7
A0A023FFN8,UniRef90_A0A023FFN8
A0A023FFQ9,UniRef90_A0A023FFQ9
A0A023FFR7,UniRef90_A0A023FFR7
A0A023FFR8,UniRef90_G3MNH2
A0A023FFS3,UniRef90_A0A023GLU9
A0A023FFS4,UniRef90_A0A023FXL2
A0A023FFT1,UniRef90_A0A023FFT1
A0A023FFT5,UniRef90_A0A023FFT5
A0A023FFT7,UniRef90_A0A023FFT7
A0A023FFU1,UniRef90_L7MG81
A0A023FFU2,UniRef90_A0A023FFU2
A0A023FFU3,UniRef90_A0A023FFU3
A0A023FFU8,UniRef90_A0A023FFU8
A0A023FFW0,UniRef90_A0A023FFW0
A0A023FFX7,UniRef90_A0A023FFX7
A0A023FFY0,UniRef90_A0A023FFY0
A0A023FFZ0,UniRef90_A0A023FW32
A0A023FFZ1,UniRef90_A0A023FFZ1
A0A023FFZ4,UniRef90_A0A023FFZ4
A0A023FFZ8,UniRef90_A0A023GGU5
A0A023FG11,UniRef90_A0A023FG11
A0A023FG16,UniRef90_A0A023FW31
A0A023FG17,UniRef90_A0A023FG17
A0A023FG21,UniRef90_L7M9M5
A0A023FG22,UniRef90_A0A023FG22
A0A023FG43,UniRef90_B7PP57
A0A023FG44,UniRef90_A0A023FTG1
A0A023FG78,UniRef90_A0A023FG78
A0A023FG84,UniRef90_A0A023FDV6
A0A023FG92,UniRef90_A0A023FG92
A0A023FG95,UniRef90_G3MP28
A0A023FGA1,UniRef90_G3MT47
A0A023FGB3,UniRef90_B7QGL3
A0A023FGC0,UniRef90_A0A023FGC0
A0A023FGC5,UniRef90_A0A023FGC5
A0A023FGC9,UniRef90_L7M3D7
A0A023FGD1,UniRef90_A0A023FGD1
A0A023FGE0,UniRef90_A0A023FGE0
A0A023FGE2,UniRef90_A0A023FCC7
A0A023FGE5,UniRef90_G3MJX7
A0A023FGE6,UniRef90_B7PRL4
A0A023FGF0,UniRef90_Q969A1
A0A023FGI8,UniRef90_A0A023FGI8
A0A023FGJ1,UniRef90_A0A023FGJ1
A0A023FGK3,UniRef90_A0A023FGK3
A0A023FGM6,UniRef90_A0A023FGM6
A0A023FGN1,UniRef90_A0A023FGN1
A0A023FGN8,UniRef90_A0A023FGN8
A0A023FGR5,UniRef90_A0A023FGR5
A0A023FGS4,UniRef90_A0A023FGS4
A0A023FGS5,UniRef90_A0A023FGS5
A0A023FGT3,UniRef90_B7QHT4
A0A023FGT6,UniRef90_A0A023G0B5
A0A023FGU2,UniRef90_A0A023FGU2
A0A023FGV4,UniRef90_Q4PM65
A0A023FGV5,UniRef90_T1L043
A0A023FGY2,UniRef90_A0A023FGY2
A0A023FH06,UniRef90_A0A023FH06
A0A023FH15,UniRef90_A0A023FH15
A0A023FH18,UniRef90_A0A023FH18
A0A023FH21,UniRef90_G3MMD0
A0A023FH33,UniRef90_A0A023FH33
A0A023FH41,UniRef90_G3MH55
A0A023FH42,UniRef90_A0A023FWQ4
A0A023FH47,UniRef90_A0A023FH47
A0A023FH48,UniRef90_A0A023FH48
A0A023FH69,UniRef90_G3MR62
A0A023FH75,UniRef90_G3MKW2
A0A023FH83,UniRef90_A0A023FH83
A0A023FH90,UniRef90_A0A023FH90
A0A023FHB2,UniRef90_A0A023FHB2
A0A023FHB8,UniRef90_A0A023FHB8
A0A023FHC3,UniRef90_A0A023FHC3
A0A023FHC8,UniRef90_A0A023FHC8
A0A023FHD7,UniRef90_A0A023FHD7
A0A023FHE3,UniRef90_A0A023FHE3
A0A023FHE5,UniRef90_A0A023FV09
A0A023FHE8,UniRef90_B7P363
A0A023FHE9,UniRef90_Q4PMC2
A0A023FHF2,UniRef90_A0A023FHF2
A0A023FHF6,UniRef90_A0A023FHF6
A0A023FHF7,UniRef90_A0A023FTK0
A0A023FHF8,UniRef90_A0A023FKF4
A0A023FHG6,UniRef90_A0A023FHJ7
A0A023FHG8,UniRef90_A0A023FHG8
A0A023FHH2,UniRef90_A0A023FU49
A0A023FHJ4,UniRef90_A0A023FHJ4
A0A023FHK2,UniRef90_A0A023FHK2
A0A023FHP2,UniRef90_A0A023FHP2
A0A023FHP7,UniRef90_G3MNI3
A0A023FHQ9,UniRef90_A0A023FUT6
A0A023FHR3,UniRef90_B7PZI8
A0A023FHT3,UniRef90_E9IX98
A0A023FHT9,UniRef90_A0A023FFS7
A0A023FHU7,UniRef90_A0A023FX98
A0A023FHU8,UniRef90_A0A023FHU8
A0A023FHV0,UniRef90_A0A023FHV0
A0A023FHV8,UniRef90_A0A023FHV8
A0A023FHW7,UniRef90_A0A023FHW7
A0A023FHX6,UniRef90_A0A023FHX6
A0A023FHY2,UniRef90_A0A023FHY2
A0A023FHZ3,UniRef90_A0A023FHZ3
A0A023FI43,UniRef90_V5HC22
A0A023FI47,UniRef90_A0A023FV19
A0A023FI84,UniRef90_A0A023FI84
A0A023FI85,UniRef90_A0A023FI85
A0A023FI98,UniRef90_B7PSK1
A0A023FIA3,UniRef90_A0A023FIA3
A0A023FID4,UniRef90_A0A023FL54
A0A023FID8,UniRef90_A0A023FID8
A0A023FID9,UniRef90_A0A023FID9
A0A023FIE3,UniRef90_G3MQ23
A0A023FIG0,UniRef90_G3MQ54
A0A023FIH3,UniRef90_B7QHP5
A0A023FII7,UniRef90_A0A023FII7
A0A023FIJ4,UniRef90_A0A023FVC9
A0A023FIK3,UniRef90_A0A023GEQ6
A0A023FIL0,UniRef90_A0A023FIL0
A0A023FIL4,UniRef90_A0A023FIL4
A0A023FIM7,UniRef90_A0A023GJ62
A0A023FIN0,UniRef90_A0A023FIN0
A0A023FIP8,UniRef90_B7P3X5
A0A023FIQ0,UniRef90_Q4PMB2
A0A023FIQ1,UniRef90_A0A023FIQ1
A0A023FIQ7,UniRef90_A0A023FLA7
A0A023FIQ8,UniRef90_G3MK49
A0A023FIR5,UniRef90_A0A023FIR5
A0A023FIR9,UniRef90_A0A023FIR9
A0A023FIS0,UniRef90_G3MS85
A0A023FIS4,UniRef90_A0A023FIS4
A0A023FIS6,UniRef90_A0A023FIS6
A0A023FIS7,UniRef90_A0A023FIS7
A0A023FIS8,UniRef90_A0A023FIS8
A0A023FIT0,UniRef90_A0A023FIT0
A0A023FIT6,UniRef90_B7PQ07
A0A023FIT8,UniRef90_A0A023FIT8
A0A023FIU0,UniRef90_A0A023FVP7
A0A023FIV0,UniRef90_B7Q5S0
A0A023FIV3,UniRef90_A0A023FIV3
A0A023FIV4,UniRef90_A0A023FIV4
A0A023FIV6,UniRef90_A0A023FIV6
A0A023FIW3,UniRef90_A0A023FIW3
A0A023FIY6,UniRef90_G3MQR8
A0A023FIZ2,UniRef90_A0A023FIZ2
A0A023FIZ6,UniRef90_E0VCG2
A0A023FJ01,UniRef90_G3ML07
A0A023FJ03,UniRef90_B7PXJ6
A0A023FJ04,UniRef90_A0A023FJ04
A0A023FJ11,UniRef90_A0A023GGJ8
A0A023FJ23,UniRef90_B7QLY8
A0A023FJ28,UniRef90_A0A023FJ28
A0A023FJ42,UniRef90_A0A023FJ42
A0A023FJ54,UniRef90_A0A023FJ54
A0A023FJ60,UniRef90_G3MRA1
A0A023FJ62,UniRef90_A0A023FJ62
A0A023FJ65,UniRef90_A0A023FJ65
A0A023FJ76,UniRef90_A0A023FJ76
A0A023FJ77,UniRef90_L7LU13
A0A023FJ94,UniRef90_A0A023FJ94
A0A023FJ96,UniRef90_A0A023FJ96
A0A023FJ97,UniRef90_A0A023FPY0
A0A023FJA5,UniRef90_A0A023FJA5
A0A023FJA6,UniRef90_G3MHB5
A0A023FJB7,UniRef90_Q26229
A0A023FJC1,UniRef90_A0A023FJC1
A0A023FJC2,UniRef90_A0A023FJC2
A0A023FJC8,UniRef90_A0A023FJC8
A0A023FJD2,UniRef90_E7CF11
A0A023FJE2,UniRef90_A0A023FJE2
A0A023FJE5,UniRef90_A0A023G4Y0
A0A023FJF5,UniRef90_A0A023FJF5
A0A023FJG1,UniRef90_A0A023FVB9
A0A023FJI4,UniRef90_A0A023FJI4
A0A023FJJ3,UniRef90_A0A023FJJ3
A0A023FJJ7,UniRef90_A0A023GFV5
A0A023FJL0,UniRef90_A0A023FJL0
A0A023FJM3,UniRef90_A0A023FJM3
A0A023FJP7,UniRef90_A0A023FJP7
A0A023FJT6,UniRef90_A0A023FJT6
A0A023FJT7,UniRef90_L7LYC7
A0A023FJU0,UniRef90_A0A023GHV8
A0A023FJU2,UniRef90_A0A023FJU2
A0A023FJU4,UniRef90_A0A023FJU4
A0A023FJV7,UniRef90_A0A023FJV7
A0A023FJV9,UniRef90_A0A023FJV9
A0A023FJW6,UniRef90_A0A023FJW6
A0A023FJW7,UniRef90_A0A023FJW7
A0A023FJX1,UniRef90_A0A023FJX1
A0A023FJX6,UniRef90_A0A023FJX6
A0A023FJY9,UniRef90_A0A023FJY9
A0A023FJZ6,UniRef90_L7MA55
A0A023FK00,UniRef90_V5IFQ7
A0A023FK03,UniRef90_A0A023FSU1
A0A023FK09,UniRef90_B7PAY2
A0A023FK14,UniRef90_A0A023FK14
A0A023FK24,UniRef90_B7PHY5
A0A023FK28,UniRef90_A0A023FK28
A0A023FK34,UniRef90_A0A023FXE7
A0A023FK43,UniRef90_A0A023FK43
A0A023FK51,UniRef90_A0A023FS50
A0A023FK53,UniRef90_A0A023FHT4
A0A023FK54,UniRef90_A0A023FK54
A0A023FK59,UniRef90_A0A023FK59
A0A023FK64,UniRef90_A0A023GC88
A0A023FK68,UniRef90_A0A023FK68
A0A023FK74,UniRef90_L7MFL8
A0A023FK75,UniRef90_A0A023FK75
A0A023FK84,UniRef90_A0A023FK84
A0A023FK93,UniRef90_B7PP10
A0A023FKA3,UniRef90_A0A023FKA3
A0A023FKB2,UniRef90_A0A023FKB2
A0A023FKC2,UniRef90_A0A023FKC2
A0A023FKC4,UniRef90_B7PCD2
A0A023FKD1,UniRef90_A0A023FKD1
A0A023FKD9,UniRef90_A0A023GEZ8
A0A023FKE3,UniRef90_A0A023GEW1
A0A023FKE5,UniRef90_L7MH89
A0A023FKF0,UniRef90_A0A023FKF0
A0A023FKF1,UniRef90_A0A023FKF1
A0A023FKF4,UniRef90_A0A023FKF4
A0A023FKG3,UniRef90_A0A023FKG3
A0A023FKG5,UniRef90_A0A023FKG5
A0A023FKH0,UniRef90_A0A023FKH0
A0A023FKH4,UniRef90_A0A023FKH4
A0A023FKH5,UniRef90_G3MM51
A0A023FKH7,UniRef90_A0A023FKH7
A0A023FKI1,UniRef90_A0A023FYR1
A0A023FKI8,UniRef90_A0A023FKI8
A0A023FKJ0,UniRef90_A0A023FKJ0
A0A023FKJ1,UniRef90_A0A023FKJ1
A0A023FKJ5,UniRef90_G3ML07
A0A023FKJ8,UniRef90_A0A023FKJ8
A0A023FKK3,UniRef90_A0A023FKK3
A0A023FKK6,UniRef90_Q4PMB6
A0A023FKK8,UniRef90_A0A023FKK8
A0A023FKL3,UniRef90_A0A023GP69
A0A023FKM5,UniRef90_A0A023FZZ7
A0A023FKM9,UniRef90_A0A023FKM9
A0A023FKN3,UniRef90_A0A023FKN3
A0A023FKP3,UniRef90_A0A023FKP3
A0A023FKP5,UniRef90_A0A023FKP5
A0A023FKP7,UniRef90_A0A023FKP7
A0A023FKQ6,UniRef90_A0A023FKQ6
A0A023FKQ8,UniRef90_A0A023FW14
A0A023FKR8,UniRef90_E7CF11
A0A023FKT4,UniRef90_A0A023FKT4
A0A023FKT5,UniRef90_A0A023FKT5
A0A023FKV5,UniRef90_A0A023FKV5
A0A023FKV7,UniRef90_A0A023FKV7
A0A023FKW3,UniRef90_A0A023FKW3
A0A023FKX2,UniRef90_G3MKU1
A0A023FKY6,UniRef90_A0A023FKY6
A0A023FKY7,UniRef90_A0A023FW64
A0A023FKZ0,UniRef90_A0A023FKZ0
A0A023FKZ1,UniRef90_A0A023FKZ1
A0A023FKZ3,UniRef90_A0A023FKZ3
A0A023FKZ6,UniRef90_A0A023FKZ6
A0A023FKZ7,UniRef90_A0A023FJF8
A0A023FL03,UniRef90_A0A023FWU3
A0A023FL13,UniRef90_A0A023FL13
A0A023FL20,UniRef90_L7M9U5
A0A023FL21,UniRef90_G3MK49
A0A023FL26,UniRef90_A0A023GJA8
A0A023FL31,UniRef90_A0A023FW91
A0A023FL39,UniRef90_A0A023FL39
A0A023FL40,UniRef90_A0A023FX85
A0A023FL43,UniRef90_A0A023FL43
A0A023FL55,UniRef90_A0A023FL55
A0A023FL59,UniRef90_A0A023FVC9
A0A023FL60,UniRef90_A0A023GMB3
A0A023FL61,UniRef90_A0A023FL61
A0A023FL66,UniRef90_A0A023G7P3
A0A023FL84,UniRef90_A0A023GNS6
A0A023FL87,UniRef90_B7QLY8
A0A023FL89,UniRef90_A0A023FL89
A0A023FL94,UniRef90_A0A023FL94
A0A023FL98,UniRef90_A0A023FL98
A0A023FL99,UniRef90_A0A023FL99
A0A023FLA3,UniRef90_A0A023FP13
A0A023FLB5,UniRef90_A0A023FLB5
A0A023FLB9,UniRef90_A0A023FLB9
A0A023FLC1,UniRef90_A0A023FLC1
A0A023FLC3,UniRef90_L7MGN6
A0A023FLC5,UniRef90_A0A023FLC5
A0A023FLC7,UniRef90_A0A023FLC7
A0A023FLD3,UniRef90_A0A023FZ91
A0A023FLE2,UniRef90_A0A023FLE2
A0A023FLE3,UniRef90_A0A023FLE3
A0A023FLE5,UniRef90_B7QIJ3
A0A023FLF5,UniRef90_A0A023FLF5
A0A023FLG2,UniRef90_A0A023FLG2
A0A023FLH7,UniRef90_B7PD37
A0A023FLI1,UniRef90_A0A023FLI1
A0A023FLJ0,UniRef90_A0A023FLJ0
A0A023FLJ2,UniRef90_A0A023FLJ2
A0A023FLJ4,UniRef90_A0A023FLJ4
A0A023FLK0,UniRef90_A0A023FLK0
A0A023FLK2,UniRef90_A0A023FLK2
A0A023FLK6,UniRef90_A0A023FLK6
A0A023FLK7,UniRef90_A0A023FLK7
A0A023FLL2,UniRef90_A0A023FLL2
A0A023FLL3,UniRef90_A0A023FLL3
A0A023FLL5,UniRef90_A0A023FLL5
A0A023FLM5,UniRef90_A0A023FNP9
A0A023FLM7,UniRef90_A0A023FLM7
A0A023FLP3,UniRef90_A0A023FLP3
A0A023FLP4,UniRef90_B7Q349
A0A023FLP6,UniRef90_A0A023FLP6
A0A023FLR6,UniRef90_A0A023FNV9
A0A023FLS4,UniRef90_A0A023FLS4
A0A023FLS5,UniRef90_A0A023FLS5
A0A023FLT3,UniRef90_V5H3P4
A0A023FLU0,UniRef90_A0A023FLU0
A0A023FLU4,UniRef90_A0A023FLU4
A0A023FLU8,UniRef90_G3MNE5
A0A023FLU9,UniRef90_A0A023FLU9
A0A023FLV0,UniRef90_A0A023FLV0
A0A023FLV3,UniRef90_A0A023FLV3
A0A023FLV7,UniRef90_A0A023FLV7
