Orthogroup	Amblyomma_aureolatum	Ixodes_scapularis	Ornithodoros_erraticus	Ornithodoros_moubata	Ornithodoros_rostratus	Rhipicephalus_bursa	Rhipicephalus_microplus	Rhipicephalus_sanguineus	Rhipicephalus_zambeziensis
OG0001321				EEC07359.1, EZA46378.1, KMQ85122.1, TGZ57006.1, XP_011883596.1, XP_015833635.1, XP_018305544.1, XP_018405222.1, XP_025161595.1		tr|B7Q863|B7Q863_IXOSC			
OG0001322				BAF44944.1		tr|A0A023FPN3|A0A023FPN3_AMBCJ, tr|A0A023FZS5|A0A023FZS5_AMBPA, tr|A0A023GBJ9|A0A023GBJ9_AMBTT, tr|A0A068LER5|A0A068LER5_RHISA, tr|G3MKA5|G3MKA5_AMBMU, tr|G3MR03|G3MR03_AMBMU, tr|L7LR89|L7LR89_RHIPC, tr|L7LTW6|L7LTW6_RHIPC, tr|Q45R47|Q45R47_RHIMP			
OG0001323				XP_011691880.1, XP_012278664.1, XP_015438490.1, XP_015904032.1, XP_022195389.1, XP_022255569.1, XP_026477275.1, XP_029040424.1, XP_029040425.1	sp|Q9QXL7|NDK7_RAT				
OG0001324				XP_013792918.2, XP_022235624.1, XP_022248217.1, XP_023222442.1, XP_023222445.1, XP_023222447.1, tr|B7PCS6|B7PCS6_IXOSC, tr|B7Q2N7|B7Q2N7_IXOSC		tr|B7P7H4|B7P7H4_IXOSC, tr|B7QC40|B7QC40_IXOSC			
OG0001325				PRD23133.1		tr|A0A023GEL2|A0A023GEL2_AMBTT, tr|B7QG60|B7QG60_IXOSC, tr|L7LXT3|L7LXT3_RHIPC, tr|L7LYZ6|L7LYZ6_RHIPC, tr|L7MAC5|L7MAC5_RHIPC, tr|L7MFT7|L7MFT7_RHIPC, tr|L7MKK7|L7MKK7_RHIPC, tr|L7MKN3|L7MKN3_RHIPC, tr|L7MLZ0|L7MLZ0_RHIPC			
OG0001326						tr|A0A023FC19|A0A023FC19_AMBCJ, tr|A0A023G198|A0A023G198_AMBPA, tr|A0A023G1I8|A0A023G1I8_AMBPA, tr|G3MFQ6|G3MFQ6_AMBMU, tr|G3MJJ4|G3MJJ4_AMBMU, tr|G3MR18|G3MR18_AMBMU, tr|G3MRR6|G3MRR6_AMBMU, tr|G3MSD6|G3MSD6_AMBMU, tr|V5GX90|V5GX90_IXORI, tr|V5IJ66|V5IJ66_IXORI			
OG0001327						tr|A0A023FLC5|A0A023FLC5_AMBCJ, tr|A0A023G6L5|A0A023G6L5_AMBTT, tr|A0A023GHV0|A0A023GHV0_AMBTT, tr|A0A023GI53|A0A023GI53_AMBTT, tr|A0A023GI63|A0A023GI63_AMBTT, tr|A0A023GKN1|A0A023GKN1_AMBTT, tr|G3MPA1|G3MPA1_AMBMU, tr|G3MQ04|G3MQ04_AMBMU, tr|G3MQ94|G3MQ94_AMBMU, tr|V5IGY2|V5IGY2_IXORI			
OG0001328						tr|A0A023FTK8|A0A023FTK8_AMBCJ, tr|B7Q5P8|B7Q5P8_IXOSC, tr|Q4PN11|Q4PN11_IXOSC, tr|V5GLE6|V5GLE6_IXORI, tr|V5HHH6|V5HHH6_IXORI, tr|V5HQQ9|V5HQQ9_IXORI, tr|V5HSF8|V5HSF8_IXORI, tr|V5I3F7|V5I3F7_IXORI, tr|V5I5A8|V5I5A8_IXORI, tr|V5IJJ0|V5IJJ0_IXORI			
OG0001329						tr|A0A023G3G9|A0A023G3G9_AMBTT, tr|A0A023G5T7|A0A023G5T7_AMBTT, tr|A0A023G6D5|A0A023G6D5_AMBTT, tr|B7SP63|B7SP63_DERVA, tr|E2J6U6|E2J6U6_9ACAR, tr|E2J6W2|E2J6W2_9ACAR, tr|L7M4K5|L7M4K5_RHIPC	tr|A0A131YR61|A0A131YR61_RHIAP, tr|A0A224YDA4|A0A224YDA4_9ACAR, tr|Q8MTY1|Q8MTY1_RHIAP		
OG0001330						tr|A0A023G697|A0A023G697_AMBTT, tr|A0A023G8W1|A0A023G8W1_AMBTT, tr|A0A023G9U9|A0A023G9U9_AMBTT, tr|C9W195|C9W195_RHISA, tr|C9W1J2|C9W1J2_RHISA, tr|G3MHV3|G3MHV3_AMBMU, tr|L7M8I0|L7M8I0_RHIPC, tr|L7M9P9|L7M9P9_RHIPC, tr|L7MBQ3|L7MBQ3_RHIPC, tr|L7MBR5|L7MBR5_RHIPC			
OG0001331						tr|A0A023G9Z4|A0A023G9Z4_AMBTT, tr|A0A034WWR2|A0A034WWR2_RHIMP, tr|A0A034WXP9|A0A034WXP9_RHIMP, tr|B7PXV3|B7PXV3_IXOSC, tr|B7Q5V2|B7Q5V2_IXOSC, tr|G3MJV0|G3MJV0_AMBMU, tr|G3MNP5|G3MNP5_AMBMU, tr|L7LQJ1|L7LQJ1_RHIPC, tr|V5GXA1|V5GXA1_IXORI, tr|V5HSK9|V5HSK9_IXORI			
OG0001332						tr|A0A090X8B8|A0A090X8B8_IXORI, tr|A0A090XCL2|A0A090XCL2_IXORI, tr|A0A090XDG4|A0A090XDG4_IXORI, tr|B7PNN2|B7PNN2_IXOSC, tr|G3MTP4|G3MTP4_AMBMU, tr|L7M2E7|L7M2E7_RHIPC, tr|L7MIE5|L7MIE5_RHIPC, tr|L7MJ28|L7MJ28_RHIPC, tr|L7MK37|L7MK37_RHIPC, tr|V5HBI4|V5HBI4_IXORI			
OG0001333	sp|Q9D7X3|DUS3_MOUSE		tr|B7QEG3|B7QEG3_IXOSC	EEC13023.1, tr|B7Q2F1|B7Q2F1_IXOSC, tr|B7QEG3|B7QEG3_IXOSC	sp|Q5RD73|DUS3_PONAB, sp|Q9D7X3|DUS3_MOUSE	tr|B7Q2F1|B7Q2F1_IXOSC			sp|Q5RD73|DUS3_PONAB
OG0001334	sp|A2VDK6|WASF2_BOVIN, sp|Q9Y6W5|WASF2_HUMAN		XP_022244140.1	XP_015907235.1, tr|B7PSM1|B7PSM1_IXOSC	sp|Q9UPY6|WASF3_HUMAN	tr|B7PSM1|B7PSM1_IXOSC, tr|L7M5V9|L7M5V9_RHIPC			sp|Q9UPY6|WASF3_HUMAN
OG0001335	sp|Q9Y2I8|WDR37_HUMAN		XP_023234629.1, tr|B7PSP2|B7PSP2_IXOSC	KFM66735.1, XP_013773727.1, XP_023234629.1		tr|A0A023GCV4|A0A023GCV4_AMBTT, tr|L7M334|L7M334_RHIPC			sp|Q8CBE3|WDR37_MOUSE
OG0001336	sp|O01479|TMOD_CAEEL		KFM77811.1	KFM77811.1	sp|O01479|TMOD_CAEEL	tr|A0A023FJ77|A0A023FJ77_AMBCJ, tr|L7LU13|L7LU13_RHIPC, tr|L7M861|L7M861_RHIPC		sp|O01479|TMOD_CAEEL	sp|O01479|TMOD_CAEEL
OG0001337	sp|E9Q634|MYO1E_MOUSE, sp|P10569|MYSC_ACACA		XP_015910492.1	KDR23445.1, XP_015910492.1, tr|B7QF00|B7QF00_IXOSC	sp|E9Q634|MYO1E_MOUSE	tr|B7QF00|B7QF00_IXOSC			sp|E9Q634|MYO1E_MOUSE
OG0001338	sp|Q63358|MYO9B_RAT		EEC15052.1, tr|B7Q880|B7Q880_IXOSC	tr|B7Q880|B7Q880_IXOSC	sp|B2RTY4|MYO9A_HUMAN	tr|A0A023GLE5|A0A023GLE5_AMBTT, tr|B7Q880|B7Q880_IXOSC, tr|D0UJI1|D0UJI1_9ACAR, tr|L7MDY4|L7MDY4_RHIPC			
OG0001339	sp|O76878|RIPL_DROME		tr|B7PH47|B7PH47_IXOSC	XP_014203867.1, tr|B7PH47|B7PH47_IXOSC	sp|O76878|RIPL_DROME	tr|B7PH47|B7PH47_IXOSC, tr|L7LSC0|L7LSC0_RHIPC, tr|L7LY78|L7LY78_RHIPC			sp|O76878|RIPL_DROME
OG0001340	sp|Q3ZBD2|ARP10_BOVIN		XP_023234542.1, tr|B7QAD6|B7QAD6_IXOSC	XP_023234542.1, tr|B7QAD6|B7QAD6_IXOSC	sp|Q9QZB7|ARP10_MOUSE	tr|B7PUP5|B7PUP5_IXOSC			sp|Q3ZBD2|ARP10_BOVIN, sp|Q9QZB7|ARP10_MOUSE
OG0001341	sp|Q8N8S7|ENAH_HUMAN		EEC13384.1	EEC13384.1	sp|O08719|EVL_RAT, sp|Q03173|ENAH_MOUSE, sp|Q8N8S7|ENAH_HUMAN	tr|L7MGY6|L7MGY6_RHIPC, tr|L7MHH9|L7MHH9_RHIPC			sp|Q8N8S7|ENAH_HUMAN
OG0001342	sp|Q96L93|KI16B_HUMAN		XP_013777088.1	RWS28586.1, XP_013777088.1, XP_022244534.1	sp|Q96L93|KI16B_HUMAN	tr|L7M6K4|L7M6K4_RHIPC, tr|V5I2A2|V5I2A2_IXORI			sp|Q96L93|KI16B_HUMAN
OG0001343	sp|Q14693|LPIN1_HUMAN		KFM65557.1, XP_013782868.1	EFX76974.1, XP_013782868.1	sp|Q14693|LPIN1_HUMAN	tr|A0A023GDB7|A0A023GDB7_AMBTT, tr|B7PQS9|B7PQS9_IXOSC			sp|Q92539|LPIN2_HUMAN
OG0001344	sp|Q4V328|GRAP1_HUMAN, sp|Q8VD04|GRAP1_MOUSE		XP_015914424.1, XP_023222811.1	PRD25892.1, XP_023222811.1	sp|Q8VD04|GRAP1_MOUSE	tr|L7MGW2|L7MGW2_RHIPC			sp|Q8VD04|GRAP1_MOUSE
OG0001345	sp|P49710|HCLS1_MOUSE	JAB79986.1	tr|B7P0V4|B7P0V4_IXOSC	EEC00226.1, tr|B7P0V4|B7P0V4_IXOSC	sp|Q01406|SRC8_CHICK	tr|L7LZZ7|L7LZZ7_RHIPC		sp|Q01406|SRC8_CHICK	sp|Q14247|SRC8_HUMAN
OG0001346	sp|Q24524|SING_DROME		XP_003740159.1	XP_023242212.1	sp|Q24524|SING_DROME	tr|A0A023GKV1|A0A023GKV1_AMBTT, tr|B7PE75|B7PE75_IXOSC, tr|L7MAG2|L7MAG2_RHIPC		sp|Q24524|SING_DROME	sp|Q24524|SING_DROME
OG0001347	sp|Q5BL41|ARP2_XENTR		tr|B7P5Z5|B7P5Z5_IXOSC	tr|B7P5Z5|B7P5Z5_IXOSC	sp|Q5M7U6|ARP2_RAT	tr|A0A023GMI5|A0A023GMI5_AMBTT, tr|A0A023NL46|A0A023NL46_DERVA, tr|L7LSQ1|L7LSQ1_RHIPC		sp|Q5BL41|ARP2_XENTR	sp|Q5BL41|ARP2_XENTR
OG0001348	sp|Q9HBI1|PARVB_HUMAN		XP_023237638.1, XP_023237639.1	EEC03742.1, tr|B7PAX0|B7PAX0_IXOSC	sp|Q9ES46|PARVB_MOUSE	tr|L7M933|L7M933_RHIPC		sp|Q9HBI1|PARVB_HUMAN	sp|Q9HBI1|PARVB_HUMAN
OG0001349	sp|O54941|SMCE1_MOUSE		KFM64725.1	KFM64725.1, tr|B7Q4A7|B7Q4A7_IXOSC	sp|O54941|SMCE1_MOUSE	tr|A0A023FJJ7|A0A023FJJ7_AMBCJ, tr|A0A023GFV5|A0A023GFV5_AMBTT, tr|A0A090X8W0|A0A090X8W0_IXORI			sp|O54941|SMCE1_MOUSE
OG0001350	sp|P54357|MLC2_DROME	JAA65622.1	tr|B7P558|B7P558_IXOSC	tr|B7P558|B7P558_IXOSC	sp|P54357|MLC2_DROME	tr|A0A023GEZ1|A0A023GEZ1_AMBTT, tr|L7M450|L7M450_RHIPC		sp|P54357|MLC2_DROME	sp|P54357|MLC2_DROME
OG0001351	sp|Q09006|STM1A_XENLA		XP_013778806.1, XP_022246513.1, XP_022246514.1	XP_022246514.1		tr|L7LXB3|L7LXB3_RHIPC, tr|V5HC57|V5HC57_IXORI		sp|Q09006|STM1A_XENLA	sp|Q09006|STM1A_XENLA
OG0001352	sp|Q9VU68|WDR1_DROME	JAB76920.1	XP_023224822.1	XP_023224822.1	sp|Q9VU68|WDR1_DROME	tr|A0A023GCY7|A0A023GCY7_AMBTT, tr|L7M5I1|L7M5I1_RHIPC		sp|Q9VU68|WDR1_DROME	sp|Q9VU68|WDR1_DROME
OG0001353	sp|P19351|TNNT_DROME		AAY42205.1	AAY42205.1	sp|Q9XZ71|TNNT_PERAM	tr|A0A023FJI4|A0A023FJI4_AMBCJ, tr|A0A023GM73|A0A023GM73_AMBTT	tr|A0A131ZB56|A0A131ZB56_RHIAP	sp|P19351|TNNT_DROME	sp|Q9XZ71|TNNT_PERAM
OG0001354	sp|Q4PLZ3|TCTP_IXOSC		TrEMBL|G3LU44|Release, TrEMBL|M5B4R7|Release	TrEMBL|G3LU44|Release	sp|M5B4R7|TCTP_GRARO	tr|Q2VMW0|Q2VMW0_AMBAM, tr|Q8T9S3|Q8T9S3_DERVA		sp|Q4PLZ3|TCTP_IXOSC	sp|M5B4R7|TCTP_GRARO
OG0001355	sp|Q52KI8|SRRM1_MOUSE, sp|Q5R5Q2|SRRM1_PONAB, sp|Q5ZMJ9|SRRM1_CHICK, sp|Q8IYB3|SRRM1_HUMAN		tr|B7QAA4|B7QAA4_IXOSC	tr|B7QAA4|B7QAA4_IXOSC	sp|Q5ZMJ9|SRRM1_CHICK	tr|B7QAA4|B7QAA4_IXOSC			sp|Q5ZMJ9|SRRM1_CHICK
OG0001356	sp|Q91X52|DCXR_MOUSE, sp|Q920P0|DCXR_RAT		tr|B7Q1L6|B7Q1L6_IXOSC	tr|B7Q1L6|B7Q1L6_IXOSC	sp|Q1JP75|DCXR_BOVIN	tr|B7Q1L6|B7Q1L6_IXOSC, tr|L7M521|L7M521_RHIPC, tr|V5I4M5|V5I4M5_IXORI			sp|Q91X52|DCXR_MOUSE
OG0001357	sp|P79896|ADHX_SPAAU, sp|Q6ERX1|CAD8A_ORYSJ, sp|Q9SK87|ADHL2_ARATH				sp|P81600|ADHH_GADMO	tr|A0A023GLR8|A0A023GLR8_AMBTT, tr|B7QD13|B7QD13_IXOSC, tr|L7M900|L7M900_RHIPC		sp|P81600|ADHH_GADMO	sp|P79896|ADHX_SPAAU
OG0001358	sp|O95342|ABCBB_HUMAN, sp|P21439|MDR3_HUMAN, sp|P21440|MDR3_MOUSE, sp|P34712|PGP1_CAEEL			KFM56907.1	sp|P06795|MDR1B_MOUSE	tr|L7MMS4|L7MMS4_RHIPC, tr|V5GKN8|V5GKN8_IXORI			sp|P21447|MDR1A_MOUSE
OG0001359	sp|Q9DBC0|SELO_MOUSE		AGP03158.1, XP_013794174.1, XP_013794175.1, tr|B7PNN6|B7PNN6_IXOSC	tr|B7PNN6|B7PNN6_IXOSC	sp|A8LHV2|SELO_DINSH, sp|Q9DBC0|SELO_MOUSE				sp|Q9BVL4|SELO_HUMAN
OG0001360	sp|Q148C8|MIEN1_BOVIN, sp|Q9CQ86|MIEN1_MOUSE		XP_018024799.1	XP_018024799.1, XP_027235557.1	sp|Q9CQ86|MIEN1_MOUSE	tr|A0A023FDL5|A0A023FDL5_AMBCJ, tr|L7MGE8|L7MGE8_RHIPC		sp|Q148C8|MIEN1_BOVIN	
OG0001361	sp|P22670|RFX1_HUMAN		XP_023226788.1, tr|B7Q379|B7Q379_IXOSC	KFM57109.1, XP_022244054.1, XP_023226788.1, tr|B7Q379|B7Q379_IXOSC	sp|Q0V9K5|RFX3_XENTR	tr|B7Q379|B7Q379_IXOSC			
OG0001362	sp|P59511|ATS20_MOUSE, sp|Q9P2N4|ATS9_HUMAN		tr|B7QFZ7|B7QFZ7_IXOSC	tr|B7QFZ7|B7QFZ7_IXOSC	sp|P59511|ATS20_MOUSE	tr|B7QFZ7|B7QFZ7_IXOSC		sp|P59511|ATS20_MOUSE	sp|P59510|ATS20_HUMAN, sp|P59511|ATS20_MOUSE
OG0001363	sp|E1BBG2|MILK1_BOVIN, sp|Q2KN95|CYTSA_TETNG, sp|Q921U8|SMTN_MOUSE		XP_023220441.1	RVE49114.1, XP_023220197.1, XP_023220441.1	sp|Q2KNA0|CYTSA_CANLF, sp|Q921U8|SMTN_MOUSE				
OG0001364	sp|Q8MSU3|FRRS1_DROME		XP_022256337.1	XP_003740479.1, XP_022256337.1	sp|Q8MSU3|FRRS1_DROME	tr|A0A023FT81|A0A023FT81_AMBPA, tr|A0A023GCY1|A0A023GCY1_AMBTT, tr|V5H303|V5H303_IXORI			sp|Q8MSU3|FRRS1_DROME
OG0001365	sp|Q9H553|ALG2_HUMAN		tr|B7PS87|B7PS87_IXOSC	XP_013773548.1, tr|B7PS87|B7PS87_IXOSC	sp|Q9H553|ALG2_HUMAN	tr|L7LWX6|L7LWX6_RHIPC, tr|V5I394|V5I394_IXORI		sp|Q9H553|ALG2_HUMAN	sp|Q9H553|ALG2_HUMAN
OG0001366	sp|P10247|HG2A_RAT, sp|Q62288|TICN1_MOUSE, sp|Q8BKV0|TICN3_MOUSE		tr|B7QD12|B7QD12_IXOSC	tr|B7QD12|B7QD12_IXOSC	sp|Q9ER58|TICN2_MOUSE	tr|L7LWJ0|L7LWJ0_RHIPC, tr|L7M8E0|L7M8E0_RHIPC			sp|Q92563|TICN2_HUMAN
OG0001367	sp|P22648|FAS2_SCHAM		XP_022668491.1	XP_022668491.1	sp|P22648|FAS2_SCHAM	tr|B7PT49|B7PT49_IXOSC, tr|L7LUX6|L7LUX6_RHIPC, tr|L7MD56|L7MD56_RHIPC, tr|L7MFI1|L7MFI1_RHIPC			sp|P22648|FAS2_SCHAM
OG0001368	sp|O35598|ADA10_MOUSE		XP_028967009.1	OQR70707.1, XP_013772127.1, XP_013793082.1, XP_023243347.1, tr|B7QKW5|B7QKW5_IXOSC	sp|O35598|ADA10_MOUSE	tr|B7QKW5|B7QKW5_IXOSC			
OG0001369	sp|Q6XJU9|OSTF1_MONAL		tr|B7P2T3|B7P2T3_IXOSC	tr|B7P2T3|B7P2T3_IXOSC	sp|Q62422|OSTF1_MOUSE	tr|A0A090XEK1|A0A090XEK1_IXORI, tr|C9W1S2|C9W1S2_RHISA, tr|L7M4X7|L7M4X7_RHIPC		sp|Q6XJU9|OSTF1_MONAL	sp|Q6XJU9|OSTF1_MONAL
OG0001370	sp|Q91YN5|UAP1_MOUSE		tr|B7PZH8|B7PZH8_IXOSC	XP_023217040.1, tr|B7PZH8|B7PZH8_IXOSC	sp|Q91YN5|UAP1_MOUSE	tr|L7M889|L7M889_RHIPC, tr|L7M8A3|L7M8A3_RHIPC, tr|L7MHZ7|L7MHZ7_RHIPC			sp|Q91YN5|UAP1_MOUSE
OG0001371	sp|Q16891|MIC60_HUMAN			DAA34331.1	sp|Q16891|MIC60_HUMAN	tr|A0A023FNT6|A0A023FNT6_AMBCJ, tr|B7PZM7|B7PZM7_IXOSC, tr|L7M897|L7M897_RHIPC, tr|L7M8F0|L7M8F0_RHIPC		sp|Q16891|MIC60_HUMAN	sp|Q16891|MIC60_HUMAN
OG0001372	sp|Q08B22|ALG11_XENLA		tr|B7PKS4|B7PKS4_IXOSC	tr|B7PKS4|B7PKS4_IXOSC	sp|Q7ZW24|ALG11_DANRE	tr|A0A023FQ29|A0A023FQ29_AMBCJ, tr|A0A023FW81|A0A023FW81_AMBPA, tr|B7PKS4|B7PKS4_IXOSC		sp|Q7ZW24|ALG11_DANRE	sp|Q7ZW24|ALG11_DANRE
OG0001373	sp|Q9NS86|LANC2_HUMAN		XP_013785557.1	KFM78794.1, XP_023231655.1	sp|Q9NS86|LANC2_HUMAN	tr|A0A023GM59|A0A023GM59_AMBTT, tr|B7QE43|B7QE43_IXOSC, tr|L7MIF4|L7MIF4_RHIPC			sp|Q9NS86|LANC2_HUMAN
OG0001374	sp|O09112|DUS8_MOUSE		RWS09296.1	RWS09296.1, XP_022711554.1, tr|B7QE69|B7QE69_IXOSC	sp|Q9BY84|DUS16_HUMAN	tr|B7QE69|B7QE69_IXOSC, tr|L7M4J0|L7M4J0_RHIPC			sp|Q9BY84|DUS16_HUMAN
OG0001375	sp|A7RJI7|CCZ1_NEMVE		OQR70131.1	OQR70131.1, XP_013787022.1, XP_015910451.1	sp|Q5ZLN2|CCZ1_CHICK	tr|A0A023FX53|A0A023FX53_AMBPA, tr|G3MQL6|G3MQL6_AMBMU			sp|A7RJI7|CCZ1_NEMVE
OG0001376	sp|A7UDM9|IXOSB_IXOSI	EEC10093.1, EEC10094.1, EEC10096.1, JAB70612.1				tr|A0A023FLU0|A0A023FLU0_AMBCJ, tr|A0A023GNI6|A0A023GNI6_AMBTT, tr|A0A034WXI1|A0A034WXI1_RHIMP, tr|L7MMT8|L7MMT8_RHIPC			
OG0001377	sp|F1R6N4|ECHD1_DANRE, sp|Q28C91|ECHD1_XENTR, sp|Q5R4W0|ECHD1_PONAB		tr|B7QGG9|B7QGG9_IXOSC	tr|B7QGG9|B7QGG9_IXOSC	sp|Q28C91|ECHD1_XENTR	tr|L7M804|L7M804_RHIPC		sp|Q5HZQ8|ECHD1_XENLA	sp|Q5HZQ8|ECHD1_XENLA
OG0001378	sp|Q17QF0|AGT2_BOVIN		OQR76350.1	OQR76350.1, XP_003744667.2, XP_014243238.1, tr|B7Q1E3|B7Q1E3_IXOSC	sp|Q3UEG6|AGT2_MOUSE	tr|A0A023GNL2|A0A023GNL2_AMBTT			sp|Q17QF0|AGT2_BOVIN
OG0001379	sp|Q6P8J2|SAT2_MOUSE, sp|Q7PCJ9|SAT2_PIG		XP_003746366.1	XP_003746366.1	sp|P48026|SAT1_MOUSE, sp|Q7PCJ9|SAT2_PIG	tr|L7M2T1|L7M2T1_RHIPC			sp|Q6P8J2|SAT2_MOUSE, sp|Q7PCJ9|SAT2_PIG
OG0001380	sp|Q04499|PROD_DROME		XP_023216644.1, tr|B7P4N1|B7P4N1_IXOSC	XP_015915226.1, tr|B7P4N1|B7P4N1_IXOSC	sp|Q04499|PROD_DROME	tr|L7MF53|L7MF53_RHIPC		sp|Q04499|PROD_DROME	sp|Q04499|PROD_DROME
OG0001381	sp|Q6GM78|ASGL1_XENLA		tr|B7P2K5|B7P2K5_IXOSC	XP_013783253.1, XP_015927584.1, XP_015927585.1, XP_023233012.1, tr|B7P2K5|B7P2K5_IXOSC		tr|L7M176|L7M176_RHIPC			sp|Q8C0M9|ASGL1_MOUSE
OG0001382	sp|P24288|BCAT1_MOUSE		XP_003736975.1, XP_013778427.1	XP_003736975.1	sp|P24288|BCAT1_MOUSE	tr|A0A023FJ01|A0A023FJ01_AMBCJ, tr|A0A023FKJ5|A0A023FKJ5_AMBCJ		sp|P24288|BCAT1_MOUSE	sp|P24288|BCAT1_MOUSE
OG0001383	sp|Q21890|YF64_CAEEL	EEC03636.1	tr|B7Q013|B7Q013_IXOSC	tr|B7Q013|B7Q013_IXOSC	sp|Q9FPH3|THA2_ARATH	tr|L7MB17|L7MB17_RHIPC		sp|Q9FPH3|THA2_ARATH	sp|Q8RXU4|THA1_ARATH, sp|Q9FPH3|THA2_ARATH
OG0001384	sp|Q5I597|BHMT1_BOVIN	EEC00912.1, JAB75807.1	XP_023217471.1	XP_015922930.1	sp|Q5I597|BHMT1_BOVIN	tr|B7P2U0|B7P2U0_IXOSC, tr|V5HKG8|V5HKG8_IXORI		sp|Q32LQ4|BHMT1_DANRE	
OG0001385	sp|Q6DE37|GXLT2_XENLA, sp|Q6GX83|GXLT1_RAT			XP_023241805.1	sp|Q6GX83|GXLT1_RAT	tr|L7LZL4|L7LZL4_RHIPC		sp|Q3UHH8|GXLT1_MOUSE	sp|Q3UHH8|GXLT1_MOUSE, sp|Q6GX83|GXLT1_RAT, sp|Q810K9|GXLT2_MOUSE
OG0001386	sp|Q58DC0|CPPED_BOVIN		tr|B7QLZ2|B7QLZ2_IXOSC	XP_023240067.1, tr|B7QLZ2|B7QLZ2_IXOSC	sp|Q66H71|CPPED_RAT	tr|B7QLZ2|B7QLZ2_IXOSC, tr|L7M3D8|L7M3D8_RHIPC		sp|Q28FE0|CPPED_XENTR	sp|Q66H71|CPPED_RAT
OG0001387	sp|P13280|GLYG_RABIT, sp|P46976|GLYG_HUMAN		tr|B7PQ52|B7PQ52_IXOSC	tr|B7PQ52|B7PQ52_IXOSC	sp|P13280|GLYG_RABIT	tr|A0A023G7M7|A0A023G7M7_AMBTT, tr|L7MB11|L7MB11_RHIPC		sp|P13280|GLYG_RABIT	sp|P13280|GLYG_RABIT
OG0001388	sp|Q8N0W3|FCSK_HUMAN		KFM65779.1, XP_015912565.1	PRD27633.1, XP_015912565.1	sp|Q8N0W3|FCSK_HUMAN	tr|L7M4Y3|L7M4Y3_RHIPC			sp|Q7TMC8|FCSK_MOUSE, sp|Q8N0W3|FCSK_HUMAN
OG0001389	sp|P83088|FUCTC_DROME		tr|B7PI87|B7PI87_IXOSC	tr|B7PGQ5|B7PGQ5_IXOSC, tr|B7PI87|B7PI87_IXOSC, tr|B7QK60|B7QK60_IXOSC	sp|P83088|FUCTC_DROME	tr|A0A023GLM9|A0A023GLM9_AMBTT, tr|L7MEJ0|L7MEJ0_RHIPC			sp|P83088|FUCTC_DROME
OG0001390	sp|P27115|MGAT1_RABIT		tr|B7QD86|B7QD86_IXOSC	XP_022246568.1, tr|B7PZ37|B7PZ37_IXOSC	sp|P27115|MGAT1_RABIT	tr|L7MAV9|L7MAV9_RHIPC		sp|P27115|MGAT1_RABIT	sp|P27808|MGAT1_MOUSE, sp|Q09325|MGAT1_RAT
OG0001391	sp|Q19317|NBEA_CAEEL, sp|Q9W4E2|NBEA_DROME		XP_023212036.1, XP_028967428.1	XP_023706008.1, XP_028967428.1	sp|Q9W4E2|NBEA_DROME	tr|L7M1C4|L7M1C4_RHIPC			sp|Q9W4E2|NBEA_DROME
OG0001392	sp|Q91348|F26L_CHICK	JAA56695.1	tr|B7PT92|B7PT92_IXOSC	XP_023217948.1, tr|B7PT92|B7PT92_IXOSC	sp|Q91348|F26L_CHICK	tr|L7LY36|L7LY36_RHIPC, tr|L7LYL7|L7LYL7_RHIPC			sp|Q91348|F26L_CHICK
OG0001393	sp|Q9LZG0|ADK2_ARATH	EEC15268.1	tr|B7Q8U6|B7Q8U6_IXOSC	tr|B7Q8U6|B7Q8U6_IXOSC	sp|Q9LZG0|ADK2_ARATH	tr|A0A023FKH5|A0A023FKH5_AMBCJ, tr|L7M8N6|L7M8N6_RHIPC		sp|Q9LZG0|ADK2_ARATH	sp|Q9LZG0|ADK2_ARATH
OG0001394	sp|P00636|F16P1_PIG	EEC07486.1	tr|B7PLL4|B7PLL4_IXOSC	XP_023226854.1, tr|B7PLL4|B7PLL4_IXOSC	sp|P00637|F16P1_RABIT	tr|L7M6U0|L7M6U0_RHIPC		sp|P00637|F16P1_RABIT	sp|P00637|F16P1_RABIT
OG0001395	sp|Q29IL2|POMT2_DROPS			RWS06523.1, XP_015924376.1, tr|B7QMI1|B7QMI1_IXOSC	sp|Q9W5D4|POMT2_DROME	tr|B7QMI1|B7QMI1_IXOSC, tr|L7LTG1|L7LTG1_RHIPC, tr|L7ME23|L7ME23_RHIPC			sp|Q29IL2|POMT2_DROPS
OG0001396	sp|O00462|MANBA_HUMAN		XP_013790438.1	KFM71618.1, XP_013790438.1, XP_023230069.1	sp|O00462|MANBA_HUMAN				sp|O00462|MANBA_HUMAN, sp|Q29444|MANBA_BOVIN, sp|Q95327|MANBA_CAPHI
OG0001397	sp|O01666|ATPG_DROME		XP_022648461.1	tr|B7QJZ7|B7QJZ7_IXOSC	sp|Q91VR2|ATPG_MOUSE	tr|A0A023FKY7|A0A023FKY7_AMBCJ, tr|A0A023FW64|A0A023FW64_AMBPA, tr|L7M679|L7M679_RHIPC		sp|P05631|ATPG_BOVIN	sp|P05631|ATPG_BOVIN
